year,month,hscode,description,unit,quantity,value,revenue
2075,4,85161000,Electric instantaneous or storage water he  ters and immersion heaters,PCS,11499.0,6888.66,1999.6400000000003
2075,4,85162100,Electric storage heating radiators   .,PCS,176.0,75.68,28.72
2075,4,85162900,"Electric space heating and soil heating ap  aratus, nes",PCS,2307.0,1144.6599999999999,397.93
2075,4,85163100,Electro-thermic hair dryers   .,PCS,3382.0,956.26,333.22
2075,4,85163200,"Electro-thermic hair-dressing apparatus, e  c (excl dryers)",PCS,5199.0,1596.5000000000002,754.1700000000001
2075,4,85163300,Electro-thermic hand-drying apparatus   .,PCS,200.0,114.31,51.31
2075,4,85164000,Electrical smoothing irons   .,PCS,12477.0,7684.990000000002,2261.05
2075,4,85165000,Microwave ovens   .,PCS,1760.0,11108.98,3303.8800000000006
2075,4,85166000,"Electric ovens, nes; cookers, cooking plat  s, boiling rings, grillers and roaste",PCS,31053.0,37827.78,11502.039999999999
2075,4,85167100,Electro-thermic coffee or tea makers  . .,PCS,1634.0,11501.310000000001,3441.0499999999997
2075,4,85167200,Electro-thermic toasters  . .,PCS,618.0,833.33,324.72999999999996
2075,4,85167900,"Electro-thermic domestic appliances, nes  . .",PCS,35626.0,15861.949999999999,5256.69
2075,4,85168000,Electric heating resistors (excl those of   545).,PCS,3407.0,2778.12,858.45
2075,4,85169000,Parts of electro-thermic appliances of 85 1 .,PCS,7406.0,4275.82,1139.57
2075,4,87032110,Auto rickshaw (three wheeler) <=1000 cc,PCS,2303.0,345030.17,435267.59
2075,4,87032190,Other vehicles of a capacity  upto 1000cc   .,PCS,326.0,120711.61000000002,268179.21
2075,4,87032200,Vehicles of a cylinder capacity exceeding   000 cc but not exceeding 1500 cc.,PCS,465.0,353850.52,823906.09
2075,4,87032310,Vehicles of a cylinder capacity exceeding   500 cc but not exceeding 3000 cc.,PCS,174.0,230438.24,552461.52
2075,4,87032320,Of a cylinder capacity exceeding 1500cc but not exceeding 3000cc,PCS,5.0,15430.04,41062.76
2075,4,87032330,Vehicles of a cylinder capacity exceeding   500 cc but not exceeding 3000 cc.,PCS,3.0,10572.26,105.91000000000001
2075,4,87033100,Vehicles with diesel engine of cylinder  ca acity <1500cc,PCS,113.0,67975.32,151297.82
2075,4,87033200,Ambulance & sab-bahan of diesel engine of   apacity between 1500cc to 2500cc.,PCS,28.0,24932.77,251.16
2075,4,87033210,Vehicles with diesel engine of cylinder  ca acity 1500-2500cc,PCS,38.0,73770.33,176047.85000000003
2075,4,87033220,Vehicles with diesel engine of cylinder  ca acity 1500-2500cc,PCS,107.0,124176.72,329048.72000000003
2075,4,87033300,Vehicles of a cylinder capacity exceeding   500 cc,PCS,38.0,52207.82000000001,149203.9
2075,4,87038010,"Other vehicles, with only electric motor for propulsion.",PCS,164.0,19021.3,1902.39
2075,4,87038090,"Other vehicles, with only electric motor for propulsion.",PCS,130.0,76636.51,18498.75
2075,4,87021010,Bus (with a capacity 26 seats and above) (  iesel or semi diesel engine).,PCS,143.0,227092.16999999998,116010.8
2075,4,87021020,Mini-bus (15 - 25 seats)  . .,PCS,36.0,67880.28,66464.73
2075,4,87021030,Micro-bus (11 to 14 seats)   .,PCS,20.0,21774.82,18116.61
2075,4,87029020,MiniBuses (with capacity 15-25 seats),PCS,1.0,1588.76,15.950000000000001
2075,4,87112011,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,4526.0,344396.73000000004,334364.30000000005
2075,4,87112019,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,3355.0,247934.04,256263.64
2075,4,87112091,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,14029.0,1047265.11,1084844.1199999999
2075,4,87112099,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,7920.0,864058.8,1028815.8200000001
2075,4,87113010,Motorcycles with reciprocating piston engi  e of capacity 250-500cc,PCS,5.0,467.75,383.24
2075,4,87113090,Motorcycles with reciprocating piston engi  e of capacity 250-500cc,PCS,505.0,76541.87,101361.08000000002
2075,4,87116000,With electric motor for propulsion,PCS,170.0,14486.130000000001,3520.36
2075,5,85161000,Electric instantaneous or storage water he  ters and immersion heaters,PCS,28773.0,26430.04000000001,7907.69
2075,5,85162100,Electric storage heating radiators   .,PCS,4707.0,1271.02,272.90999999999997
2075,5,85162900,"Electric space heating and soil heating ap  aratus, nes",PCS,32406.0,18013.42,5537.98
2075,5,85163100,Electro-thermic hair dryers   .,PCS,10490.0,2804.2999999999993,1170.4400000000003
2075,5,85163200,"Electro-thermic hair-dressing apparatus, e  c (excl dryers)",PCS,3709.0,3234.4700000000003,1043.9900000000002
2075,5,85163300,Electro-thermic hand-drying apparatus   .,PCS,1185.0,195.35999999999996,64.24
2075,5,85164000,Electrical smoothing irons   .,PCS,26956.0,13973.649999999998,4125.990000000001
2075,5,85165000,Microwave ovens   .,PCS,1768.0,20137.010000000002,5358.489999999998
2075,5,85166000,"Electric ovens, nes; cookers, cooking plat  s, boiling rings, grillers and roaste",PCS,48609.0,40950.88000000002,12414.730000000005
2075,5,85167100,Electro-thermic coffee or tea makers  . .,PCS,519.0,11025.29,3380.6200000000003
2075,5,85167200,Electro-thermic toasters  . .,PCS,2588.0,2542.1800000000003,763.9199999999998
2075,5,85167900,"Electro-thermic domestic appliances, nes  . .",PCS,19352.82,10096.22,3299.55
2075,5,85168000,Electric heating resistors (excl those of   545).,PCS,6992.959999999999,1669.1900000000014,534.6700000000003
2075,5,85169000,Parts of electro-thermic appliances of 85 1 .,PCS,23302.0,5479.480000000001,1662.5999999999997
2075,5,87032110,Auto rickshaw (three wheeler) <=1000 cc,PCS,2708.0,409426.12000000005,514537.98999999993
2075,5,87032190,Other vehicles of a capacity  upto 1000cc   .,PCS,547.0,249038.61999999997,552615.9199999999
2075,5,87032200,Vehicles of a cylinder capacity exceeding   000 cc but not exceeding 1500 cc.,PCS,764.0,611312.6699999999,1416363.5800000005
2075,5,87032310,Vehicles of a cylinder capacity exceeding   500 cc but not exceeding 3000 cc.,PCS,192.0,226201.63,546013.79
2075,5,87032320,Of a cylinder capacity exceeding 1500cc but not exceeding 3000cc,PCS,0.0,0.0,0.0
2075,5,87033100,Vehicles with diesel engine of cylinder  ca acity <1500cc,PCS,157.0,145852.85,323762.79
2075,5,87033200,Ambulance & sab-bahan of diesel engine of   apacity between 1500cc to 2500cc.,PCS,16.0,14247.149999999998,143.51000000000002
2075,5,87033210,Vehicles with diesel engine of cylinder  ca acity 1500-2500cc,PCS,2.0,6457.669999999998,15711.919999999984
2075,5,87033300,Vehicles of a cylinder capacity exceeding   500 cc,PCS,27.0,71091.04999999999,128598.13000000003
2075,5,87038010,"Other vehicles, with only electric motor for propulsion.",PCS,265.0,28145.920000000002,5364.4
2075,5,87021010,Bus (with a capacity 26 seats and above) (  iesel or semi diesel engine).,PCS,33.0,52269.63000000006,25043.62999999999
2075,5,87021020,Mini-bus (15 - 25 seats)  . .,PCS,37.0,64166.34,62526.04000000001
2075,5,87021030,Micro-bus (11 to 14 seats)   .,PCS,26.0,20482.620000000003,25617.89
2075,5,87021090,"Jeep, Car, Van (diesel or semi diesel engi  e)",PCS,16.0,9986.52,22080.550000000003
2075,5,87029010,Buses (> 25 seats),PCS,1.0,1244.07,0.07
2075,5,87029020,MiniBuses (with capacity 15-25 seats),PCS,0.0,0.0,0.0
2075,5,87029040,"Jeep, Car, Van",PCS,1.0,1905.97,0.07
2075,5,87112011,Motorcycles with reciprocating engine of c  pacity 50-250cc,PCS,5186.0,363098.98000000004,361768.30999999994
2075,5,87113010,Motorcycles with reciprocating piston engi  e of capacity 250-500cc,PCS,2.0,220.88,228.1500000000001
2075,5,87114000,Motorcycles with reciprocating piston engi  e of capacity 500-800cc,PCS,3.0,2120.0200000000004,3485.74
2075,5,87115000,Motorcycles with reciprocating piston engi  e of capacity >800cc.,PCS,5.0,5401.950000000001,10469.12
2075,5,87116000,With electric motor for propulsion,PCS,2.0,44.01000000000022,10.699999999999818
2075,6,85161000,Electric instantaneous or storage water he  ters and immersion heaters,PCS,74023.0,41457.669999999984,11376.659999999998
2075,6,85162100,Electric storage heating radiators   .,PCS,141.0,174.9000000000001,52.45999999999998
2075,6,85162900,"Electric space heating and soil heating ap  aratus, nes",PCS,42763.0,36978.09,11112.379999999997
2075,6,85163100,Electro-thermic hair dryers   .,PCS,18047.0,5370.290000000003,1770.2999999999988
