year,month,hscode,description,unit,quantity,value,revenue
2079,4,85161000.0,Electric instantaneous or storage water he  ters and immersion heaters,PCS,18428.0,33353.654651885,8118.034
2079,4,85162100.0,Electric storage heating radiators   .,PCS,8.0,118.232453125,28.797
2079,4,85162900.0,"Electric space heating and soil heating ap  aratus, nes",PCS,1996.0,6001.38732821655,1458.701
2079,4,85163100.0,Electro-thermic hair dryers   .,PCS,36837.0,12366.854766449,3100.301
2079,4,85163200.0,"Electro-thermic hair-dressing apparatus, e  c (excl dryers)",PCS,9398.0,1712.56709570313,483.715
2079,4,85163300.0,Electro-thermic hand-drying apparatus   .,PCS,210.0,207.972938720703,50.613
2079,4,85164000.0,Electrical smoothing irons   .,PCS,13424.0,6119.95041241455,1427.719
2079,4,85165000.0,Microwave ovens   .,PCS,1537.0,21325.9644682617,5140.52
2079,4,85166011.0,Induction stove,PCS,4315.0,8356.44543823242,1197.613
2079,4,85166012.0,Infrared stove,PCS,8713.0,17892.7978300781,2528.457
2079,4,85166019.0,Others,PCS,21.0,1067.22629589844,196.003
2079,4,85166020.0,Rice cooker,PCS,29249.0,38988.5167203369,9474.595
2079,4,85166030.0,"Electric Kettle, jug use for boiling water",PCS,29755.8000030518,10570.9807446289,2580.5
2079,4,85166090.0,"Other ovens, cooking plates, boiling rings, grillers & roaster",PCS,1924.0,12252.577670105,2977.62
2079,4,85167100.0,Electro-thermic coffee or tea makers  . .,PCS,243.0,13006.5428065186,3161.274
2079,4,85167200.0,Electro-thermic toasters  . .,PCS,82.0,799.067577819824,193.625
2079,4,85167910.0,Electric insect trap,PCS,52.0,195.996765625,28.065
2079,4,85167990.0,Other electro thermic appliances,PCS,44553.0,46495.8574615784,11564.582
2079,4,85168000.0,Electric heating resistors (excl those of   545).,PCS,27892.6300010681,4678.46592440796,1178.749
2079,4,85169000.0,Parts of electro-thermic appliances,PCS,1489910.5,29153.458870032,5446.889
2079,4,87032199.0,Other vehicles having capacity <=1000CC,PCS,26.0,17597.333,43456.925
2079,4,87032210.0,Other vehicle unassembled condition (Petrol engine) capacity >1000CC to <=1500CC,PCS,1.0,2471.295,0.065
2079,4,87032290.0,Other vehicle (Petrol engine) capacity >1000CC to <=1500CC,PCS,64.0,86848.4989375,223219.711
2079,4,87032319.0,Other vehicles (Petro engine) >1500CC to <=2000CC,PCS,1.0,1227.098,2232.311
2079,4,87032329.0,Other vehicle (Petrol engine) capacity >2000CC to <=2500CC,PCS,1.0,2786.303,8746.803
2079,4,87032490.0,Ambulace & Sabbahan,PCS,13.0,21617.9285625,216.901
2079,4,87033190.0,Other vehicle  (Diesel engine) capacity upto 1500CC,PCS,7.0,7587.9605,18726.325
2079,4,87033219.0,Vehicles with diesel engine of cylinder  ca acity 1500-2500cc,PCS,16.0,20675.738,57747.75
2079,4,87033229.0,Vehicles with diesel engine of cylinder  ca acity 1500-2500cc,PCS,2.0,4467.374,496.01
2079,4,87033390.0,Other vehicle (Diesel engine) capacity >2500CC,PCS,2.0,9413.707,31735.427
2079,4,87038011.0,Unassembled Electric three wheelers vehicles,PCS,64.0,9015.472,1936.139
2079,4,87038019.0,Electric three wheelers vehicles,PCS,459.0,40375.398296875,14402.018
2079,4,87038029.0,"Electric car, jeep & van upto 100KW",PCS,205.0,589463.75275,177307.815
2079,4,87038059.0,"Electric car, jeep & van > 100KW to <=200KW",PCS,4.0,19036.8755,19135.785
2079,4,87038069.0,"Electric car, jeep & van > 200KW to <=300KW",PCS,2.0,13181.94,19702.075
2079,4,87021010.0,Bus (with a capacity 26 seats and above) (  iesel or semi diesel engine).,PCS,19.0,32870.69575,19117.041
2079,4,87021020.0,Mini-bus (15 - 25 seats)  . .,PCS,6.0,9922.31175,10889.806
2079,4,87021030.0,Micro-bus (11 to 14 seats)   .,PCS,5.0,6291.4525,8859.849
2079,4,87022010.0,Buses (with a capacity  more than 25 seats),PCS,5.0,7671.185,4843.755
2079,4,87023049.0,"Jeep, car & van with both spark ignition internal combusion (Hybrid) ABOVE 2000 CC",PCS,1.0,3981.018,8489.031
2079,4,87112011.0,Unassembled Motorcycles with piston engine of capacity exceeding 50 not exceeding 125CC,PCS,911.0,77176.000921875,56951.761
2079,4,87112012.0,Unassembled Motorcycles with piston engine of capacity exceeding 125 not exceeding  200 CC,PCS,2324.0,251270.90925,186560.128
2079,4,87112019.0,Unassembled Motorcycles with piston engine of capacity exceeding 200 not exceeding  250CC,PCS,675.0,90923.99140625,93445.283
2079,4,87112091.0,Motorcycles with piston engine of capacity exceeding 50 not exceeding 125cc,PCS,13392.0,1051124.49340625,1286230.075
2079,4,87112092.0,Motorcycles with piston engine of capacity exceeding 125CC  not exceeding 200 CC,PCS,1382.0,177842.293765625,235116.327
2079,4,87113090.0,Motorcycle wiht piston engine exceeding 250cc not exceeding 400CC,PCS,40.0,5603.1295,16595.178
2079,4,87116010.0,Cycle with electric motor for propulsion,PCS,1169.0,45323.9936279297,10959.631
2079,4,87116090.0,Others (except cycle) motorcycle & scooter with electric motor for propulsion,PCS,901.0,97051.2579042969,32515.031
2079,5,85161000.0,Electric instantaneous or storage water he  ters and immersion heaters,PCS,41735.0,38988.5771035767,9137.327000000001
